ökänd	1
mången	1
glad	1
gedigen	1
liten	1
hård	1
sen	1
mycken	1
välkommen	1
öppen	1
ilsken	1
egen	1
osund	1
enskild	1
blåögd	1
ond	1
medveten	1
angelägen	1
okänd	1
kristen	1
vuxen	1
rädd	1
jätte|ond	1
jätte|ledsen	1
lessen	1
sugen	1
synd	1
ledsen	1
mild	1
obenägen	1
ren	1
nämnvärd	1
jättesugen	1
vaken	1
stenhård	1
naken	1
nyfiken	1
högljudd	1
galen	1
värd	1
toppen	1
oerhörd	1
omedveten	1
helhjärtad	1
vild	1
lyhörd	1
avsevärd	1
sund	1
belägen	1
folkvald	1
blond	1
trogen	1
förmögen	1
färgglad	1
sorgsen	1
överlägsen	1
outvecklad	1
önskvärd	1
rund	1
belåten	1
härsken	1
moloken	1
grund	1
blå|mild	1
plikttrogen	1
oönskad	1
len	1
säregen	1
mogen	1
avlägsen	1
älskvärd	1
medfaren	1
ljummen	1
känd	
efterlängtad	
nöjd	
född	
särskild	
gömd	
okvalificerad	
ökad	
planerad	
digitaliserad	
berörd	
jämförd	
önskad	
grupperad	
slagen	
spänd	
tumultartad	
gripen	
försvunnen	
oavbruten	
tagen	
saknad	
beväpnad	
in|skriven	
så kallad	
nystartad	
informerad	
bibehållen	
konstruerad	
motiverad	
nytillträdd	
direkt|sänd	
sjuk|skriven	
befordrad	
kritiserad	
överordnad	
israelisk|född	
attackerad	
beredd	
ockuperad	
uttalad	
kallad	
eskorterad	
förändrad	
skyddad	
bifogad	
avtals|licens|baserad	
sam|ordnad	
kopplad	
obeväpnad	
kravallutrustad	
skjuten	
representerad	
forsknings|relaterad	
förkortad	
sammanlagd	
mål|grupps|anpassad	
sammanhållen	
anpassad	
ändrad	
förväntad	
förlängd	
samlad	
förbättrad	
in|delad	
EU|finansierad	
rekommenderad	
in|bjuden	
baserad	
förlorad	
knuten	
utökad	
förvånad	
klimat|anpassad	
oförminskad	
inblandad	
sofistikerad	
oavsedd	
fruktansvärd	
präglad	
styrd	
dold	
drabbad	
anställd	
ägd	
tvungen	
oväntad	
in|spelad	
fördelad	
lurad	
fel|vinklad	
traumatiserad	
förfluten	
uppmärksammad	
konfronterad	
utesluten	
upprörd	
gestaltad	
slutförd	
sedd	
inbäddad	
specialanpassad	
byggd	
gjord	
upplevd	
reglerad	
samhälls|orienterad	
natur|orienterad	
upp|kommen	
betald	
utfärdad	
inträffad	
skriven	
formulerad	
civilklädd	
maskerad	
uniformerad	
nyutkommen	
tillåten	
beviljad	
sammantagen	
upprepad	
behandlad	
etablerad	
villkorad	
ställd	
chock|höjd	
mördad	
organiserad	
jättenöjd	
kvalificerad	
prioriterad	
begränsad	
registrerad	
markerad	
fördriven	
skadad	
arbetsrelaterad	
hållen	
förenad	
besviken	
bortkastad	
sagd	
väl|behövd	
bortskämd	
missad	
imponerad	
begagnad	
korkad	
laddad	
förbannad	
röntgad	
bestämd	
förstörd	
förtvivlad	
ner|kyld	
uppstoppad	
enfärgad	
producerad	
berömd	
utmattad	
förkyld	
utsövd	
snedvriden	
fylld	
avslagen	
tvingad	
upplagd	
skapad	
spelad	
avliden	
påtänd	
remastrad	
betraktad	
menad	
intresserad	
över|skattad	
över|dramatiserad	
återfuktad	
svullen	
in|lindad	
taggad	
fixad	
mobbad	
uppvuxen	
förälskad	
hypad	
välbärgad	
berättad	
sluten	
skruvad	
förföljd	
skyltad	
skild	
bortkopplad	
fram|kopplad	
torkad	
upprymd	
utlovad	
handlad	
hemgjord	
försenad	
upp|vänd	
ner|vänd	
överdriven	
sliten	
stängd	
nybliven	
storslagen	
privilegierad	
sansad	
slutkörd	
tempo|fylld	
friterad	
duschad	
till|sagd	
utvilad	
förberedd	
tecknad	
smittad	
återupptagen	
komplicerad	
dödsdömd	
undertecknad	
dömd	
förvisad	
övertygad	
sist|nämnd	
ärad	
ned|lagd	
ordnad	
avtalad	
avförd	
fattad	
begärd	
misslyckad	
minskad	
godkänd	
välutbildad	
höjd	
före|skriven	
given	
regelbunden	
avklarad	
transporterad	
avslutad	
avgränsad	
fram|lagd	
framlagd	
upp|ställd	
varierad	
koncentrerad	
tillskickad	
framskriden	
helskinnad	
missnöjd	
redovisad	
utvecklad	
ut|bildad	
säsongs|betonad	
likriktad	
genomarbetad	
outnyttjad	
detaljerad	
underordnad	
förvissad	
underrättad	
avsedd	
in|övad	
finansierad	
intäkts|baserad	
ut|basunerad	
värderad	
välutvecklad	
inbegripen	
bortglömd	
lottad	
omotiverad	
integrerad	
de|centraliserad	
överens|kommen	
grundad	
upp|delad	
stympad	
farsartad	
in|tecknad	
inkilad	
intagen	
olycksdrabbad	
avbildad	
in|smugen	
grillad	
nyfångad	
diskriminerad	
ut|given	
hand|textad	
tillägnad	
multiplicerad	
animerad	
lättskrämd	
upp|stramad	
graderad	
utrustad	
fjäder|belastad	
upp|hängd	
monterad	
mugglar|född	
blixt|formad	
välkänd	
placerad	
underförstådd	
nyfödd	
ner|kortad	
inspirerad	
dragen	
såld	
jagad	
anförd	
in|ringad	
datoranimerad	
nominerad	
optimerad	
lag|stiftad	
lagstadgad	
utarbetad	
lågavlönad	
arrangerad	
special|byggd	
invigd	
utvald	
arab|kontrollerad	
inställd	
vänlig|sinnad	
belönad	
bekräftad	
skickad	
framskjuten	
namn|given	
avancerad	
eldriven	
förbunden	
datoriserad	
form|given	
kugg|försedd	
packad	
tränad	
använd	
special|tillverkad	
studerad	
omtalad	
lutad	
upp|värmd	
mättad	
standardiserad	
ledd	
utbredd	
lyckad	
noterad	
odiskad	
hyllad	
iväg|skickad	
adresserad	
utsvulten	
ödesbestämd	
förtrollad	
förutbestämd	
up|piggad	
befogad	
up|plockad	
befriad	
välsignad	
förlamad	
älskad	
uppfylld	
arkaiserad	
slätstruken	
kultförklarad	
ny|planerad	
påhittad	
vald	
jämkad	
författad	
försvagad	
försörjd	
fullgjord	
avlagd	
civiliserad	
stigen	
monsun|buren	
skållad	
iförd	
högkragad	
guld|galonerad	
ny|struken	
o|skuggad	
vitmålad	
över|gödd	
road	
upp|äten	
ut|slätad	
avbruten	
slätkammad	
rått|färgad	
skad|skjuten	
trolovad	
spridd	
lättpåverkad	
omvänd	
glömd	
berusad	
halvrutten	
överspänd	
myggnäts|om|hängd	
palm|skuggad	
ny|tvagen	
nyrakad	
guld|beslagen	
välkammad	
skriftlärd	
svältfödd	
tilltygad	
grund|lurad	
miss|handlad	
brunfärgad	
välsorterad	
in|handlad	
saltad	
rensad	
borttagen	
lågmäld	
tillagd	
betrodd	
utsänd	
förtvinad	
åtskild	
benämnd	
orienterad	
uppskattad	
störd	
lärd	
förfinad	
in|kommen	
egenproducerad	
sol|torkad	
förbryllad	
upp|lagrad	
förvirrad	
fullstaplad	
förhindrad	
skogbevuxen	
pluggad	
ned|grävd	
utskuren	
lättfotad	
mångfärgad	
färgad	
tystlåten	
infödd	
blandad	
svalnad	
mandelformad	
upphöjd	
polerad	
okultiverad	
insjunken	
kullerstens|belagd	
tvättad	
putsad	
lagd	
dit|transporterad	
nybakad	
kasserad	
överraskad	
lackerad	
balanserad	
kortfattad	
oordnad	
ämnad	
premierad	
överbliven	
special|preparerad	
oanad	
hemlagad	
hemmagjord	
spetsad	
